记录数,address,city,closeTime,features,hasArtwork,latitude,longitude,openTime,postalCode,storeName,storeNumber,记录数
1,城西区力盟商业巷5号楼1F五四大街41号,西宁市,1899/12/30 23:00:00,"['OG', 'DL', 'MIC']",伪,36.629856,101.758665,1899/12/30 8:00:00,810000,西宁力盟商业巷店,26085-241627,1
1,海湖新区海湖万达一层海湖万达购物中心,西宁市,1899/12/30 22:30:00,"['OG', 'DL', 'MIC']",伪,36.643006,101.716344,1899/12/30 7:30:00,810000,西宁海湖万达店,47231-255727,1
1,江苏省南通市海门文峰大世界一楼A23号铺位海门市长江路608号,南通市,1899/12/30 22:00:00,"['OG', 'PO']",伪,31.889519,121.185937,1899/12/30 7:30:00,226000,南通海门文峰大世界店,29102-252504,1
1,"No.369,M. Jiefang RdHaimen",Nantong,1899/12/30 22:30:00,"['OG', 'DL', 'MIC', 'NCB', 'PO']",伪,31.895274,121.182121,1899/12/30 7:00:00,226000,海门大东方百货店,16163-168925,1
1,江苏省南通市None海门市长江南路99号1楼1001单元,南通市,1899/12/30 22:00:00,"['OG', 'PO']",伪,31.880225,121.185093,1899/12/30 8:30:00,226000,南通海门龙信广场店,54129-286382,1
1,江苏省海门市None张謇大道179号一层L1032单元,南通市,1899/12/30 22:00:00,"['OG', 'PO']",伪,31.877458,121.174993,1899/12/30 8:00:00,226000,南通海门中南城店,48586-263487,1
1,江苏省南通市None海门市江海路115号,南通市,1899/12/30 22:00:00,"['OG', 'PO']",伪,31.893824,121.16537,1899/12/30 8:00:00,226000,南通海门文峰广场店,26318-244085,1
1,江苏省南通市None南通农场999号苏通大桥东服务区D7-D9号,南通市,1899/12/30 22:00:00,"['OG', 'MIC']",伪,31.866938,120.992723,1899/12/30 7:30:00,226000,G15苏通大桥服务区东区,48841-265525,1
1,江苏省南通市None南通农场999号苏通大桥西服务区D7-D9号,南通市,1899/12/30 22:00:00,['OG'],伪,31.868699,120.991401,1899/12/30 7:30:00,226000,G15苏通大桥服务区西区,48842-265526,1
1,江苏省南通市None通州区朝霞东路198号1层1011号商铺,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,32.06437,121.089561,1899/12/30 7:30:00,226000,南通通州万达店,53294-284566,1
1,江苏省南通市None星湖大道1066号一层112号商铺,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,31.923908,120.961879,1899/12/30 9:30:00,226000,南通永旺梦乐城店,52145-280604,1
1,开发区None新东路101号世茂广场一层1010单元,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,31.92129,120.951799,1899/12/30 7:00:00,226000,南通世茂广场店,24885-239024,1
1,江苏省南通市None开发区星湖大道1101号2幢118室02单元,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,31.922255,120.942615,1899/12/30 8:00:00,226000,南通星湖101广场店,49065-266945,1
1,通州区None建设路76号,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,32.086498,121.074776,1899/12/30 7:30:00,226000,南通通州文峰大世界店,22953-226384,1
1,江苏省南通市None崇川区桃园路10号中南百货L1-001、002号商铺,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,31.969859,120.895703,1899/12/30 7:30:00,226000,南通中南百货店,48303-262905,1
1,江苏省南通市None崇川区新城区支路6号凤凰文化广一层1F-1号铺位,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,31.975377,120.897221,1899/12/30 7:00:00,226000,南通凤凰文化广场店,23102-226304,1
1,崇川区南通中南城桃园路12号,南通市,1899/12/30 22:30:00,"['OG', 'DL', 'MIC', 'NCB', 'PO']",伪,31.968687,120.892876,1899/12/30 7:30:00,226000,南通中南城店,16077-157090,1
1,Jiangnan avenueChangshu,苏州市,1899/12/30 22:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,31.74285,120.932686,1899/12/30 6:30:00,215000,苏州常熟江南印象店,48617-264204,1
1,崇川区南通星光耀广场工农路100号星光耀广场2号楼B101铺位,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,31.967143,120.890545,1899/12/30 7:00:00,226000,南通星光耀店,24903-239025,1
1,江苏省苏州市苏州太仓滨江广场一幢第一层的112单元太仓市港区龙江路 299 号,苏州市,1899/12/30 21:00:00,"['OG', 'DL', 'PO']",伪,31.616314,121.20893,1899/12/30 8:00:00,215000,苏州太仓滨江广场店,53681-285953,1
1,江苏省南通市None工农南路155号1楼L1-48\L1-49号商铺,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,31.985427,120.888371,1899/12/30 7:30:00,226000,南通印象城1F店,52146-280605,1
1,江苏省南通市None工农南路155号3楼L3-14/L3-15a号商铺,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,31.986945,120.888138,1899/12/30 10:00:00,226000,南通印象城3F店,53650-284964,1
1,崇川区南通文峰城市广场虹桥路1号A区一层1001单元，二层2001单元,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'MIC', 'RC']",伪,31.997188,120.88425,1899/12/30 6:30:00,226000,南通文峰城市广场店,26609-244644,1
1,崇川区南通金鹰圆融购物中心工农路57号南通金鹰圆融购物中心1F1、1F2铺位,南通市,1899/12/30 22:30:00,"['OG', 'DL', 'MIC']",伪,32.005915,120.884362,1899/12/30 7:30:00,226000,南通金鹰圆融店,23440-230167,1
1,江苏省南通市南通圆融广场一层123#二层215-B#铺位崇川区工农路57号,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,32.005545,120.88355,1899/12/30 7:30:00,226000,南通圆融广场店,24820-208747,1
1,江苏省南通市None崇川区人民中路106号,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,32.017261,120.867859,1899/12/30 7:00:00,226000,南通人民路金鹰店,48608-264144,1
1,崇川区文峰大世界南大街3-5号,南通市,1899/12/30 22:00:00,"['OG', 'DL']",伪,32.015251,120.865852,1899/12/30 7:00:00,226000,南通文峰大世界店,15021-157089,1
1,崇川区南通八佰伴1楼1-1铺位人民中路47号,南通市,,"['OG', 'MIC']",伪,32.017261,120.865899,,226000,南通八佰伴店,21672-214011,1
1,江苏省南通市None崇川区濠北路529号A座一楼A1062铺位,南通市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,32.024149,120.855221,1899/12/30 7:30:00,226000,南通邦豪时尚广场店,47421-258109,1
1,No.206 Ba Yi RoadChongming district,Shanghai,1899/12/30 22:00:00,['OG'],伪,31.620879,121.396525,1899/12/30 8:00:00,200000,崇明八一广场店,18847-195964,1
